price,area,status,bhk,location,bath,City
6300000,1286,Under Construction,3,Madhavaram,2,Chennai
4943000,1009,Under Construction,2,Madhavaram,1,Chennai
5124000,1046,Under Construction,2,Madhavaram,1,Chennai
5124000,1046,Under Construction,2,Madhavaram,1,Chennai
7686000,1569,Under Construction,3,Madhavaram,2,Chennai
7686000,1569,Under Construction,3,Madhavaram,2,Chennai
5124000,1046,Under Construction,2,Madhavaram,1,Chennai
5124000,1046,Under Construction,2,Madhavaram,1,Chennai
7686000,1569,Under Construction,3,Madhavaram,2,Chennai
7686000,1569,Under Construction,3,Madhavaram,2,Chennai
6417000,1310,Under Construction,3,Madhavaram,2,Chennai
6417000,1310,Under Construction,3,Madhavaram,2,Chennai
5173000,1056,Under Construction,2,Madhavaram,1,Chennai
5173000,1056,Under Construction,2,Madhavaram,1,Chennai
5158000,1053,Under Construction,2,Madhavaram,1,Chennai
5158000,1053,Under Construction,2,Madhavaram,1,Chennai
6966000,1422,Under Construction,3,Madhavaram,2,Chennai
6966000,1422,Under Construction,3,Madhavaram,2,Chennai
4869000,994,Under Construction,2,Madhavaram,1,Chennai
4869000,994,Under Construction,2,Madhavaram,1,Chennai
4859000,992,Under Construction,2,Madhavaram,1,Chennai
4859000,992,Under Construction,2,Madhavaram,1,Chennai
6334000,1293,Under Construction,3,Madhavaram,2,Chennai
6334000,1293,Under Construction,3,Madhavaram,2,Chennai
7647000,1561,Under Construction,3,Madhavaram,2,Chennai
7647000,1561,Under Construction,3,Madhavaram,2,Chennai
6383000,1303,Under Construction,3,Madhavaram,2,Chennai
6383000,1303,Under Construction,3,Madhavaram,2,Chennai
5741000,1172,Under Construction,2,Madhavaram,1,Chennai
5741000,1172,Under Construction,2,Madhavaram,1,Chennai
4874000,995,Under Construction,2,Madhavaram,1,Chennai
4874000,995,Under Construction,2,Madhavaram,1,Chennai
8171000,1668,Under Construction,3,Madhavaram,2,Chennai
8171000,1668,Under Construction,3,Madhavaram,2,Chennai
7201000,1470,Under Construction,3,Madhavaram,2,Chennai
7201000,1470,Under Construction,3,Madhavaram,2,Chennai
6231000,1272,Under Construction,3,Madhavaram,2,Chennai
6231000,1272,Under Construction,3,Madhavaram,2,Chennai
8200000,1674,Under Construction,3,Madhavaram,2,Chennai
8200000,1674,Under Construction,3,Madhavaram,2,Chennai
7554000,1542,Under Construction,3,Madhavaram,2,Chennai
7554000,1542,Under Construction,3,Madhavaram,2,Chennai
6270000,1280,Under Construction,3,Madhavaram,2,Chennai
6270000,1280,Under Construction,3,Madhavaram,2,Chennai
6300000,1286,Under Construction,3,Madhavaram,2,Chennai
6300000,1286,Under Construction,3,Madhavaram,2,Chennai
7456000,1522,Under Construction,3,Madhavaram,2,Chennai
